geometry,OBJECTID,INCIDENTID,ACCIDENT_DATE,INTERSECTION,LOCATION,CROSS_STREET,CITY,STATE,POSTAL_CODE,OFFENSE_CO,OFFENSE_DE,LONGITUDE,LATITUDE,YEAR_,MONTH_,DOW_,MONTHFULL,DOWFULL,QUARTER
POINT (-97.24470714999995 37.75223517300003),58,26C002328,2026-01-04 18:27:00,N ROCK RD & E 37TH ST N,E 37TH ST N,N ROCK RD,WICHITA,KS,67226,7070,MOTOR VEHICLE/PEDACYCLE,-97.24469914,37.75222857,2026,1,0,January,Sunday,1
POINT (-97.29895323599999 37.685393462000036),60,26C002368,2026-01-04 19:35:00,S HILLSIDE AVE & E OAKLAND AVE,S HILLSIDE AVE,E OAKLAND AVE,WICHITA,KS,67211,7020,MOTOR VEHICLE/PEDESTRIAN,-97.29894522,37.68538687,2026,1,0,January,Sunday,1
POINT (-97.26271574399999 37.72348886000003),87,26C003063,2026-01-05 19:07:00,6330 E 21ST ST N,6330 E 21ST ST N,,WICHITA,KS,67208,7020,MOTOR VEHICLE/PEDESTRIAN,-97.26270773,37.72348226,2026,1,1,January,Monday,1
POINT (-97.31995486299996 37.72256286000004),99,26C003534,2026-01-06 12:45:00,E 21ST ST N & N I135 RAMP,E 21ST ST N,N I135 RAMP,WICHITA,KS,67214,7070,MOTOR VEHICLE/PEDACYCLE,-97.31994684,37.72255627,2026,1,2,January,Tuesday,1
POINT (-97.33520980099996 37.654938309000045),112,26C003788,2026-01-06 18:15:00,2106 S BROADWAY AVE,2106 S BROADWAY AVE,,WICHITA,KS,67211,7020,MOTOR VEHICLE/PEDESTRIAN,-97.33520178,37.65493173,2026,1,2,January,Tuesday,1
POINT (-97.35310163599996 37.69071741800008),215,26C005849,2026-01-09 18:33:00,N MCLEAN BLVD & N SENECA ST,N SENECA ST,N MCLEAN BLVD,WICHITA,KS,67203,7020,MOTOR VEHICLE/PEDESTRIAN,-97.3530936,37.69071083,2026,1,5,January,Friday,1
POINT (-97.29759191499994 37.69330590900006),216,26C005857,2026-01-09 19:02:41,3337 E CENTRAL AVE,3337 E CENTRAL AVE,,WICHITA,KS,67208,7020,MOTOR VEHICLE/PEDESTRIAN,-97.2975839,37.69329932,2026,1,5,January,Friday,1
POINT (-97.41896999099998 37.69459101600006),351,26C009322,2026-01-13 05:35:00,6500 W CENTRAL AVE,6500 W CENTRAL AVE,,WICHITA,KS,67212,7070,MOTOR VEHICLE/PEDACYCLE,-97.41896194,37.69458443,2026,1,2,January,Tuesday,1
POINT (-97.39168519499998 37.68388100800007),385,26C010040,2026-01-16 12:21:00,W DOUGLAS AVE & N FLORENCE ST,W DOUGLAS AVE,N FLORENCE ST,WICHITA,KS,67212,7070,MOTOR VEHICLE/PEDACYCLE,-97.39167715,37.68387442,2026,1,5,January,Friday,1
POINT (-97.28057178199998 37.69926182100005),441,26C012003,2026-01-19 19:16:00,E 8TH ST N & N OLIVER AVE,E 8TH ST N,N OLIVER AVE,WICHITA,KS,67208,7020,MOTOR VEHICLE/PEDESTRIAN,-97.28056377,37.69925523,2026,1,1,January,Monday,1
POINT (-97.33683595499997 37.682469225000034),545,26C014044,2026-01-22 21:21:00,200 E WATERMAN ST,200 E WATERMAN ST,,WICHITA,KS,67202,7070,MOTOR VEHICLE/PEDACYCLE,-97.33682793,37.68246264,2026,1,4,January,Thursday,1
POINT (-97.32886450999996 37.687968313000056),621,26C016572,2026-01-27 12:05:00,E 1ST ST N & N MEAD AVE,E 1ST ST N,N MEAD AVE,WICHITA,KS,67202,7020,MOTOR VEHICLE/PEDESTRIAN,-97.32885648,37.68796173,2026,1,2,January,Tuesday,1
